Group	Trait
Blood Related Traits	Neutrophil count
Blood Related Traits	Estimated glomerular filtration rate
Blood Related Traits	circulating leptin levels
Blood Related Traits	Alanine aminotransferase levels
Blood Related Traits	Cerebral amyloid deposition (PET imaging)
Blood Related Traits	Mean corpuscular hemoglobin
Blood Related Traits	Mean corpuscular volume
Blood Related Traits	Eosinophil counts
Blood Related Traits	Post bronchodilator FEV1
Blood Related Traits	Lung function (FVC)
Blood Related Traits	Menarche (age at onset)
Blood Related Traits	Mean platelet volume
Blood Related Traits	Lymphocyte count
Blood Related Traits	Post bronchodilator FEV1/FVC ratio
Blood Related Traits	Blood urea nitrogen levels
Blood Related Traits	Hemoglobin levels
Blood Related Traits	Hemoglobin concentration
Blood Related Traits	Aspartate aminotransferase levels
Blood Related Traits	Monocyte count
Cardiovascular Traits	Systolic blood pressure
Cardiovascular Traits	C-reactive protein levels
Cardiovascular Traits	Diastolic blood pressure
Cardiovascular Traits	Heel bone mineral density
Cardiovascular Traits	Pulse pressure
Cardiovascular Traits	Serum alkaline phosphatase levels
Cardiovascular Traits	BMI (adjusted for smoking behaviour)
Cardiovascular Traits	Estimated glomerular filtration rate (creatinine)
Cardiovascular Traits	Electrocardiogram morphology (amplitude at temporal datapoints)
Cardiovascular Traits	C-reactive protein
Cardiovascular Traits	Medication use (agents acting on the renin-angiotensin system)
Brain Morphology	Cortical surface area
Brain Morphology	Brain region volumes
Brain Morphology	Cortical thickness
Brain Morphology	Vertex-wise cortical thickness
Brain Morphology	Vertex-wise sulcal depth
Brain Morphology	Brain morphology (MOSTest)
Brain Morphology	Vertex-wise cortical surface area
Psychological and Cognitive Disorders	Major depressive disorder
Psychological and Cognitive Disorders	Major depressive disorder or stress-related disorder
Psychological and Cognitive Disorders	Depression
Psychological and Cognitive Disorders	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)
Psychological and Cognitive Disorders	Alzheimer's disease or educational attainment (pleiotropy)
Psychological and Cognitive Disorders	Schizophrenia (MTAG)
Psychological and Cognitive Disorders	Depressed affect
Psychological and Cognitive Disorders	Depressive symptoms
Psychological and Cognitive Disorders	Schizophrenia
Psychological and Cognitive Disorders	Alzheimer's disease
Psychological and Cognitive Disorders	Parkinson's disease
