VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Brain_Cerebellar_Hemisphere	COVAR	17351	0.0064502	0.012942	0.0040777	0.056856	Brain_Cerebellar_Hemisphere	f1438	Bread intake	1	FALSE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17351	0.0072304	0.014352	0.004207	0.042849	Brain_Cerebellum	f1438	Bread intake	1	FALSE	Brain Cerebellum
Brain_Cortex	COVAR	17351	0.013507	0.024635	0.0047853	0.0023839	Brain_Cortex	f1438	Bread intake	0.0619814	FALSE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17351	0.012737	0.023471	0.0046176	0.0029082	Brain_Frontal_Cortex_BA9	f1438	Bread intake	0.0756132	FALSE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17351	0.012609	0.021354	0.0053597	0.0093287	Brain_Hippocampus	f1438	Bread intake	0.2425462	FALSE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17351	0.010127	0.017434	0.0054365	0.031252	Brain_Hypothalamus	f1438	Bread intake	0.812552	FALSE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17351	0.011171	0.019383	0.0051052	0.014334	Brain_Nucleus_accumbens_basal_ganglia	f1438	Bread intake	0.372684	FALSE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17351	0.010237	0.01742	0.0053271	0.027329	Brain_Putamen_basal_ganglia	f1438	Bread intake	0.710554	FALSE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17351	0.0080359	0.014444	0.0058129	0.083429	Brain_Spinal_cord_cervical_c-1	f1438	Bread intake	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17351	0.010736	0.018481	0.005761	0.031206	Brain_Substantia_nigra	f1438	Bread intake	0.811356	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17351	-0.015394	-0.029605	0.0085173	0.96464	Breast_Mammary_Tissue	f1438	Bread intake	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17351	0.0027535	0.0058999	0.0043883	0.26518	Cells_Cultured_fibroblasts	f1438	Bread intake	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17351	-0.00018044	-0.00039369	0.0032566	0.52209	Cells_EBV-transformed_lymphocytes	f1438	Bread intake	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17351	-0.01508	-0.02956	0.0081179	0.96838	Cervix_Ectocervix	f1438	Bread intake	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17351	-0.0097884	-0.019379	0.0077515	0.89666	Cervix_Endocervix	f1438	Bread intake	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17351	0.00052665	0.0010304	0.0084546	0.47517	Colon_Sigmoid	f1438	Bread intake	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17351	-0.0088066	-0.016195	0.0077827	0.87108	Colon_Transverse	f1438	Bread intake	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17351	0.00018932	0.00037273	0.0086352	0.49125	Esophagus_Gastroesophageal_Junction	f1438	Bread intake	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17351	-0.012378	-0.023931	0.005131	0.99207	Esophagus_Mucosa	f1438	Bread intake	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17351	-0.0039272	-0.0077469	0.0083724	0.68049	Esophagus_Muscularis	f1438	Bread intake	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17351	-0.014761	-0.02864	0.007877	0.96952	Fallopian_Tube	f1438	Bread intake	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17351	-0.00065485	-0.0011757	0.0064798	0.54025	Heart_Atrial_Appendage	f1438	Bread intake	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17351	-0.0021518	-0.0035919	0.00617	0.63636	Heart_Left_Ventricle	f1438	Bread intake	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17351	0.00070742	0.0012434	0.0060216	0.45324	Kidney_Cortex	f1438	Bread intake	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17351	-0.0045567	-0.0084289	0.0062096	0.76847	Kidney_Medulla	f1438	Bread intake	1	FALSE	Kidney Medulla
Liver	COVAR	17351	0.00032794	0.00059055	0.0042457	0.46922	Liver	f1438	Bread intake	1	FALSE	Liver
Lung	COVAR	17351	-0.014446	-0.027934	0.0061058	0.991	Lung	f1438	Bread intake	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17351	-0.011983	-0.022307	0.0064867	0.96765	Minor_Salivary_Gland	f1438	Bread intake	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17351	-0.0042296	-0.0080004	0.0046536	0.81829	Muscle_Skeletal	f1438	Bread intake	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17351	-0.0061679	-0.012415	0.0067678	0.81894	Nerve_Tibial	f1438	Bread intake	1	FALSE	Nerve Tibial
Ovary	COVAR	17351	-0.0039839	-0.0080759	0.0064736	0.73085	Ovary	f1438	Bread intake	1	FALSE	Ovary
Pancreas	COVAR	17351	-0.0017161	-0.0028698	0.00566	0.61913	Pancreas	f1438	Bread intake	1	FALSE	Pancreas
Pituitary	COVAR	17351	0.0068493	0.012769	0.006037	0.12829	Pituitary	f1438	Bread intake	1	FALSE	Pituitary
Prostate	COVAR	17351	-0.0076601	-0.014534	0.0079848	0.8313	Prostate	f1438	Bread intake	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17351	-0.014833	-0.028612	0.0051756	0.99792	Skin_Not_Sun_Exposed_Suprapubic	f1438	Bread intake	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17351	-0.014191	-0.027542	0.0051837	0.9969	Skin_Sun_Exposed_Lower_leg	f1438	Bread intake	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17351	-0.005758	-0.010589	0.0064504	0.81397	Small_Intestine_Terminal_Ileum	f1438	Bread intake	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17351	-0.0043506	-0.0086227	0.0049367	0.81091	Spleen	f1438	Bread intake	1	FALSE	Spleen
Stomach	COVAR	17351	-0.0054491	-0.0099011	0.008022	0.75151	Stomach	f1438	Bread intake	1	FALSE	Stomach
Testis	COVAR	17351	0.0027522	0.0047517	0.0037354	0.23063	Testis	f1438	Bread intake	1	FALSE	Testis
Thyroid	COVAR	17351	-0.0043265	-0.0085672	0.0065103	0.74683	Thyroid	f1438	Bread intake	1	FALSE	Thyroid
Uterus	COVAR	17351	-0.00030898	-0.00062953	0.0073041	0.51687	Uterus	f1438	Bread intake	1	FALSE	Uterus
Vagina	COVAR	17351	-0.018452	-0.035291	0.0073815	0.99378	Vagina	f1438	Bread intake	1	FALSE	Vagina
Whole_Blood	COVAR	17351	-0.0042739	-0.0077259	0.0037734	0.87131	Whole_Blood	f1438	Bread intake	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17343	-0.017586	-0.03511	0.0073849	0.99137	Adipose_Subcutaneous	f1448.1	White bread consumption	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17343	-0.014977	-0.029099	0.0076672	0.9746	Adipose_Visceral_Omentum	f1448.1	White bread consumption	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17343	-0.0046337	-0.0089478	0.0068902	0.74936	Adrenal_Gland	f1448.1	White bread consumption	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17343	-0.014958	-0.030532	0.0069749	0.984	Artery_Aorta	f1448.1	White bread consumption	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17343	-0.021074	-0.041964	0.0081361	0.9952	Artery_Coronary	f1448.1	White bread consumption	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17343	-0.013928	-0.028685	0.0068432	0.97908	Artery_Tibial	f1448.1	White bread consumption	1	FALSE	Artery Tibial
Bladder	COVAR	17343	-0.032943	-0.064233	0.0089904	0.99988	Bladder	f1448.1	White bread consumption	1	FALSE	Bladder
Brain_Amygdala	COVAR	17343	0.019102	0.032545	0.0053866	0.00019599	Brain_Amygdala	f1448.1	White bread consumption	0.00509574	TRUE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17343	0.0221	0.03904	0.0049638	4.276e-06	Brain_Anterior_cingulate_cortex_BA24	f1448.1	White bread consumption	0.000111176	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17343	0.017988	0.031073	0.0053934	0.00042721	Brain_Caudate_basal_ganglia	f1448.1	White bread consumption	0.01110746	TRUE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17343	0.022543	0.045233	0.0041723	3.3236e-08	Brain_Cerebellar_Hemisphere	f1448.1	White bread consumption	8.64136e-07	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17343	0.023257	0.046168	0.0042986	3.1893e-08	Brain_Cerebellum	f1448.1	White bread consumption	8.29218e-07	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17343	0.023286	0.04247	0.0048954	9.9188e-07	Brain_Cortex	f1448.1	White bread consumption	2.578888e-05	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17343	0.022722	0.041869	0.0047295	7.8343e-07	Brain_Frontal_Cortex_BA9	f1448.1	White bread consumption	2.036918e-05	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17343	0.019361	0.03279	0.0054764	0.0002042	Brain_Hippocampus	f1448.1	White bread consumption	0.0053092	TRUE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17343	0.017124	0.02948	0.0055543	0.0010259	Brain_Hypothalamus	f1448.1	White bread consumption	0.0266734	TRUE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17343	0.020386	0.035372	0.0052062	4.5248e-05	Brain_Nucleus_accumbens_basal_ganglia	f1448.1	White bread consumption	0.001176448	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17343	0.018421	0.031348	0.0054309	0.00034788	Brain_Putamen_basal_ganglia	f1448.1	White bread consumption	0.00904488	TRUE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17343	0.0090497	0.016272	0.0059047	0.062695	Brain_Spinal_cord_cervical_c-1	f1448.1	White bread consumption	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17343	0.01109	0.019095	0.0058752	0.029545	Brain_Substantia_nigra	f1448.1	White bread consumption	0.76817	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17343	-0.02602	-0.050054	0.0086935	0.99862	Breast_Mammary_Tissue	f1448.1	White bread consumption	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17343	-0.0036145	-0.0077461	0.0044363	0.79238	Cells_Cultured_fibroblasts	f1448.1	White bread consumption	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17343	0.0049551	0.010813	0.0033326	0.068537	Cells_EBV-transformed_lymphocytes	f1448.1	White bread consumption	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17343	-0.023777	-0.046626	0.0082989	0.99791	Cervix_Ectocervix	f1448.1	White bread consumption	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17343	-0.017856	-0.035359	0.0078969	0.98812	Cervix_Endocervix	f1448.1	White bread consumption	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17343	-0.0030166	-0.0059037	0.0086124	0.63693	Colon_Sigmoid	f1448.1	White bread consumption	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17343	-0.012008	-0.022087	0.0079306	0.935	Colon_Transverse	f1448.1	White bread consumption	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17343	-0.01531	-0.030151	0.0088246	0.95862	Esophagus_Gastroesophageal_Junction	f1448.1	White bread consumption	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17343	-0.01846	-0.035696	0.0052346	0.99979	Esophagus_Mucosa	f1448.1	White bread consumption	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17343	-0.015671	-0.030923	0.0085513	0.96656	Esophagus_Muscularis	f1448.1	White bread consumption	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17343	-0.024315	-0.047185	0.0081164	0.99863	Fallopian_Tube	f1448.1	White bread consumption	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17343	-0.0042283	-0.0075941	0.0065489	0.74074	Heart_Atrial_Appendage	f1448.1	White bread consumption	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17343	-0.002169	-0.0036218	0.0062376	0.63598	Heart_Left_Ventricle	f1448.1	White bread consumption	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17343	-0.0077658	-0.013651	0.0061358	0.89717	Kidney_Cortex	f1448.1	White bread consumption	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17343	-0.010886	-0.020137	0.006349	0.95678	Kidney_Medulla	f1448.1	White bread consumption	1	FALSE	Kidney Medulla
Liver	COVAR	17343	-0.0076782	-0.01383	0.0043266	0.96201	Liver	f1448.1	White bread consumption	1	FALSE	Liver
Lung	COVAR	17343	-0.013659	-0.026415	0.0062773	0.98521	Lung	f1448.1	White bread consumption	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17343	-0.018036	-0.033576	0.0066354	0.99671	Minor_Salivary_Gland	f1448.1	White bread consumption	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17343	0.0013113	0.0024809	0.0047324	0.39086	Muscle_Skeletal	f1448.1	White bread consumption	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17343	-0.018825	-0.037902	0.0069247	0.99672	Nerve_Tibial	f1448.1	White bread consumption	1	FALSE	Nerve Tibial
Ovary	COVAR	17343	-0.00023039	-0.00046716	0.0066237	0.51387	Ovary	f1448.1	White bread consumption	1	FALSE	Ovary
Pancreas	COVAR	17343	-0.0051692	-0.0086472	0.0057673	0.81495	Pancreas	f1448.1	White bread consumption	1	FALSE	Pancreas
Pituitary	COVAR	17343	0.0076661	0.014293	0.0061476	0.1062	Pituitary	f1448.1	White bread consumption	1	FALSE	Pituitary
Prostate	COVAR	17343	-0.019331	-0.036685	0.008246	0.99046	Prostate	f1448.1	White bread consumption	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17343	-0.017214	-0.033212	0.0052683	0.99946	Skin_Not_Sun_Exposed_Suprapubic	f1448.1	White bread consumption	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17343	-0.017591	-0.034149	0.0052816	0.99957	Skin_Sun_Exposed_Lower_leg	f1448.1	White bread consumption	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17343	-0.010402	-0.019135	0.0065854	0.94288	Small_Intestine_Terminal_Ileum	f1448.1	White bread consumption	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17343	-0.0052296	-0.010367	0.0050605	0.84928	Spleen	f1448.1	White bread consumption	1	FALSE	Spleen
Stomach	COVAR	17343	-0.013393	-0.024341	0.008263	0.94747	Stomach	f1448.1	White bread consumption	1	FALSE	Stomach
Testis	COVAR	17343	0.0014949	0.0025819	0.0038031	0.34713	Testis	f1448.1	White bread consumption	1	FALSE	Testis
Thyroid	COVAR	17343	-0.0068351	-0.013538	0.0066552	0.84779	Thyroid	f1448.1	White bread consumption	1	FALSE	Thyroid
Uterus	COVAR	17343	-0.014685	-0.029927	0.0074833	0.97513	Uterus	f1448.1	White bread consumption	1	FALSE	Uterus
Vagina	COVAR	17343	-0.033778	-0.064619	0.0075398	1	Vagina	f1448.1	White bread consumption	1	FALSE	Vagina
Whole_Blood	COVAR	17343	-0.0043303	-0.0078283	0.0038639	0.86878	Whole_Blood	f1448.1	White bread consumption	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17337	-0.0057587	-0.011496	0.0064885	0.81259	Adipose_Subcutaneous	f1448.2	Brown bread consumption	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17337	0.0056736	0.011023	0.0067427	0.20006	Adipose_Visceral_Omentum	f1448.2	Brown bread consumption	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17337	-0.015435	-0.0298	0.0060307	0.99475	Adrenal_Gland	f1448.2	Brown bread consumption	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17337	-0.0051732	-0.01056	0.0061844	0.79855	Artery_Aorta	f1448.2	Brown bread consumption	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17337	-0.007982	-0.015893	0.0071899	0.86653	Artery_Coronary	f1448.2	Brown bread consumption	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17337	-0.01153	-0.023744	0.0060394	0.97187	Artery_Tibial	f1448.2	Brown bread consumption	1	FALSE	Artery Tibial
Bladder	COVAR	17337	-0.00018296	-0.00035672	0.0079243	0.50921	Bladder	f1448.2	Brown bread consumption	1	FALSE	Bladder
Brain_Amygdala	COVAR	17337	0.0042461	0.0072334	0.0047636	0.18637	Brain_Amygdala	f1448.2	Brown bread consumption	1	FALSE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17337	0.0042521	0.0075114	0.004374	0.1655	Brain_Anterior_cingulate_cortex_BA24	f1448.2	Brown bread consumption	1	FALSE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17337	0.002959	0.0051109	0.0047679	0.26744	Brain_Caudate_basal_ganglia	f1448.2	Brown bread consumption	1	FALSE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17337	-0.001762	-0.0035356	0.0036534	0.6852	Brain_Cerebellar_Hemisphere	f1448.2	Brown bread consumption	1	FALSE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17337	-0.0017852	-0.0035438	0.0037698	0.68209	Brain_Cerebellum	f1448.2	Brown bread consumption	1	FALSE	Brain Cerebellum
Brain_Cortex	COVAR	17337	0.0046054	0.0083995	0.0043163	0.143	Brain_Cortex	f1448.2	Brown bread consumption	1	FALSE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17337	0.0042644	0.0078583	0.0041604	0.15269	Brain_Frontal_Cortex_BA9	f1448.2	Brown bread consumption	1	FALSE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17337	0.0027279	0.0046193	0.0048483	0.28684	Brain_Hippocampus	f1448.2	Brown bread consumption	1	FALSE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17337	0.0031955	0.0055005	0.0049235	0.25816	Brain_Hypothalamus	f1448.2	Brown bread consumption	1	FALSE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17337	0.002171	0.0037666	0.0046051	0.31867	Brain_Nucleus_accumbens_basal_ganglia	f1448.2	Brown bread consumption	1	FALSE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17337	0.0030003	0.0051045	0.0048084	0.26633	Brain_Putamen_basal_ganglia	f1448.2	Brown bread consumption	1	FALSE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17337	0.00045109	0.00081085	0.0052259	0.46561	Brain_Spinal_cord_cervical_c-1	f1448.2	Brown bread consumption	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17337	0.00011056	0.00019031	0.0052116	0.49154	Brain_Substantia_nigra	f1448.2	Brown bread consumption	1	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17337	-0.0031597	-0.0060776	0.0076411	0.66038	Breast_Mammary_Tissue	f1448.2	Brown bread consumption	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17337	0.00072721	0.0015584	0.0039164	0.42635	Cells_Cultured_fibroblasts	f1448.2	Brown bread consumption	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17337	0.0069452	0.015156	0.0029336	0.0089609	Cells_EBV-transformed_lymphocytes	f1448.2	Brown bread consumption	0.2329834	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17337	0.00011716	0.00022971	0.0073111	0.49361	Cervix_Ectocervix	f1448.2	Brown bread consumption	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17337	0.00048614	0.00096263	0.0069828	0.47225	Cervix_Endocervix	f1448.2	Brown bread consumption	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17337	-0.0076851	-0.015038	0.0075744	0.84485	Colon_Sigmoid	f1448.2	Brown bread consumption	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17337	0.011451	0.021062	0.0069871	0.050623	Colon_Transverse	f1448.2	Brown bread consumption	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17337	-0.016115	-0.03173	0.0077755	0.98088	Esophagus_Gastroesophageal_Junction	f1448.2	Brown bread consumption	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17337	0.0020965	0.0040542	0.0046006	0.3243	Esophagus_Mucosa	f1448.2	Brown bread consumption	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17337	-0.016606	-0.032761	0.0075139	0.98644	Esophagus_Muscularis	f1448.2	Brown bread consumption	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17337	-0.0030898	-0.005996	0.0071407	0.66738	Fallopian_Tube	f1448.2	Brown bread consumption	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17337	-0.016955	-0.030439	0.0057369	0.99844	Heart_Atrial_Appendage	f1448.2	Brown bread consumption	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17337	-0.016071	-0.026824	0.0054598	0.99838	Heart_Left_Ventricle	f1448.2	Brown bread consumption	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17337	0.0017489	0.0030736	0.0054515	0.37418	Kidney_Cortex	f1448.2	Brown bread consumption	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17337	0.0046912	0.0086769	0.0055968	0.20096	Kidney_Medulla	f1448.2	Brown bread consumption	1	FALSE	Kidney Medulla
Liver	COVAR	17337	-0.0044774	-0.0080623	0.0038336	0.87857	Liver	f1448.2	Brown bread consumption	1	FALSE	Liver
Lung	COVAR	17337	0.01301	0.025159	0.005555	0.0095946	Lung	f1448.2	Brown bread consumption	0.2494596	FALSE	Lung
Minor_Salivary_Gland	COVAR	17337	-0.0050498	-0.0094008	0.0058303	0.80678	Minor_Salivary_Gland	f1448.2	Brown bread consumption	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17337	-0.010952	-0.020716	0.0041572	0.99578	Muscle_Skeletal	f1448.2	Brown bread consumption	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17337	-0.011922	-0.024003	0.0060815	0.97502	Nerve_Tibial	f1448.2	Brown bread consumption	1	FALSE	Nerve Tibial
Ovary	COVAR	17337	0.0014343	0.0029077	0.0058301	0.40284	Ovary	f1448.2	Brown bread consumption	1	FALSE	Ovary
Pancreas	COVAR	17337	-0.0040904	-0.0068395	0.0050531	0.79087	Pancreas	f1448.2	Brown bread consumption	1	FALSE	Pancreas
Pituitary	COVAR	17337	0.0018951	0.0035334	0.0053869	0.3625	Pituitary	f1448.2	Brown bread consumption	1	FALSE	Pituitary
Prostate	COVAR	17337	0.0078461	0.014889	0.007252	0.13965	Prostate	f1448.2	Brown bread consumption	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17337	-0.0018466	-0.0035625	0.0046216	0.65525	Skin_Not_Sun_Exposed_Suprapubic	f1448.2	Brown bread consumption	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17337	-0.0029684	-0.0057619	0.0046363	0.73899	Skin_Sun_Exposed_Lower_leg	f1448.2	Brown bread consumption	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17337	0.013283	0.024433	0.0058202	0.011245	Small_Intestine_Terminal_Ileum	f1448.2	Brown bread consumption	0.29237	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17337	0.011538	0.022871	0.0044402	0.0046847	Spleen	f1448.2	Brown bread consumption	0.1218022	FALSE	Spleen
Stomach	COVAR	17337	0.0045406	0.008251	0.0072866	0.2666	Stomach	f1448.2	Brown bread consumption	1	FALSE	Stomach
Testis	COVAR	17337	-0.0013158	-0.0022711	0.0033177	0.65416	Testis	f1448.2	Brown bread consumption	1	FALSE	Testis
Thyroid	COVAR	17337	-0.0019092	-0.0037816	0.0058183	0.62859	Thyroid	f1448.2	Brown bread consumption	1	FALSE	Thyroid
Uterus	COVAR	17337	-0.004396	-0.008958	0.0066039	0.74718	Uterus	f1448.2	Brown bread consumption	1	FALSE	Uterus
Vagina	COVAR	17337	0.003046	0.0058269	0.0066554	0.3236	Vagina	f1448.2	Brown bread consumption	1	FALSE	Vagina
Whole_Blood	COVAR	17337	0.0055817	0.010087	0.0033951	0.050093	Whole_Blood	f1448.2	Brown bread consumption	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17349	-0.023476	-0.046857	0.0074839	0.99914	Adipose_Subcutaneous	f1488	Tea intake	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17349	-0.022293	-0.043308	0.0077569	0.99797	Adipose_Visceral_Omentum	f1488	Tea intake	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17349	0.00076161	0.0014705	0.0069702	0.4565	Adrenal_Gland	f1488	Tea intake	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17349	-0.03052	-0.062285	0.0071038	0.99999	Artery_Aorta	f1488	Tea intake	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17349	-0.035933	-0.071536	0.0082728	0.99999	Artery_Coronary	f1488	Tea intake	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17349	-0.025376	-0.052247	0.0069615	0.99987	Artery_Tibial	f1488	Tea intake	1	FALSE	Artery Tibial
Bladder	COVAR	17349	-0.02311	-0.045054	0.0091302	0.99431	Bladder	f1488	Tea intake	1	FALSE	Bladder
Brain_Amygdala	COVAR	17349	0.012354	0.021048	0.0054432	0.011624	Brain_Amygdala	f1488	Tea intake	0.302224	FALSE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17349	0.013898	0.024551	0.0050186	0.0028121	Brain_Anterior_cingulate_cortex_BA24	f1488	Tea intake	0.0731146	FALSE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17349	0.013353	0.023066	0.0054671	0.0073	Brain_Caudate_basal_ganglia	f1488	Tea intake	0.1898	FALSE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17349	0.016654	0.033418	0.0042201	3.9838e-05	Brain_Cerebellar_Hemisphere	f1488	Tea intake	0.001035788	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17349	0.017906	0.035547	0.0043486	1.9229e-05	Brain_Cerebellum	f1488	Tea intake	0.000499954	TRUE	Brain Cerebellum
