VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Testis	COVAR	17343	0.0035322	0.0061003	0.0038102	0.17696	f1448.1	White bread consumption	1	FALSE	Testis
Thyroid	COVAR	17343	0.0026952	0.0053382	0.0074879	0.35945	f1448.1	White bread consumption	1	FALSE	Thyroid
Uterus	COVAR	17343	-0.0027671	-0.0056391	0.0083114	0.6304	f1448.1	White bread consumption	1	FALSE	Uterus
Vagina	COVAR	17343	-0.029641	-0.056706	0.0086953	0.99967	f1448.1	White bread consumption	1	FALSE	Vagina
Adipose_Tissue	COVAR	17337	0.00030082	0.00059076	0.008131	0.48524	f1448.2	Brown bread consumption	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17337	-0.015312	-0.029563	0.0062309	0.993	f1448.2	Brown bread consumption	1	FALSE	Adrenal Gland
Bladder	COVAR	17337	0.002049	0.003995	0.0097709	0.41695	f1448.2	Brown bread consumption	1	FALSE	Bladder
Blood	COVAR	17337	0.0079028	0.014195	0.0037463	0.017458	f1448.2	Brown bread consumption	0.453908	FALSE	Blood
Blood_Vessel	COVAR	17337	-0.010043	-0.020382	0.0071188	0.92083	f1448.2	Brown bread consumption	1	FALSE	Blood Vessel
Brain	COVAR	17337	0.0030269	0.0052572	0.0041769	0.23433	f1448.2	Brown bread consumption	1	FALSE	Brain
Breast	COVAR	17337	-0.0029615	-0.0056963	0.0096054	0.62108	f1448.2	Brown bread consumption	1	FALSE	Breast
Cervix_Uteri	COVAR	17337	0.0023627	0.004643	0.0086038	0.39181	f1448.2	Brown bread consumption	1	FALSE	Cervix Uteri
Colon	COVAR	17337	0.0078751	0.014745	0.0095566	0.20496	f1448.2	Brown bread consumption	1	FALSE	Colon
Esophagus	COVAR	17337	-0.011708	-0.02206	0.010411	0.86959	f1448.2	Brown bread consumption	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17337	-0.0026246	-0.0050932	0.0083976	0.62268	f1448.2	Brown bread consumption	1	FALSE	Fallopian Tube
Heart	COVAR	17337	-0.016499	-0.02839	0.0057643	0.99789	f1448.2	Brown bread consumption	1	FALSE	Heart
Kidney	COVAR	17337	0.0028324	0.0049846	0.0057417	0.3109	f1448.2	Brown bread consumption	1	FALSE	Kidney
Liver	COVAR	17337	-0.0045088	-0.008119	0.003958	0.87268	f1448.2	Brown bread consumption	1	FALSE	Liver
Lung	COVAR	17337	0.018012	0.034832	0.0064105	0.0024814	f1448.2	Brown bread consumption	0.0645164	FALSE	Lung
Muscle	COVAR	17337	-0.01036	-0.019595	0.0041469	0.99375	f1448.2	Brown bread consumption	1	FALSE	Muscle
Nerve	COVAR	17337	-0.011601	-0.023356	0.006313	0.96693	f1448.2	Brown bread consumption	1	FALSE	Nerve
Ovary	COVAR	17337	0.0027269	0.0055283	0.0062232	0.33063	f1448.2	Brown bread consumption	1	FALSE	Ovary
Pancreas	COVAR	17337	-0.0039026	-0.0065255	0.0052742	0.77033	f1448.2	Brown bread consumption	1	FALSE	Pancreas
Pituitary	COVAR	17337	0.0027163	0.0050645	0.0050146	0.29403	f1448.2	Brown bread consumption	1	FALSE	Pituitary
Prostate	COVAR	17337	0.012207	0.023164	0.0084064	0.07325	f1448.2	Brown bread consumption	1	FALSE	Prostate
Salivary_Gland	COVAR	17337	-0.0055994	-0.010424	0.0065746	0.80279	f1448.2	Brown bread consumption	1	FALSE	Salivary Gland
Skin	COVAR	17337	-0.0016296	-0.0031085	0.0060389	0.60636	f1448.2	Brown bread consumption	1	FALSE	Skin
Small_Intestine	COVAR	17337	0.017734	0.032621	0.0065781	0.0035132	f1448.2	Brown bread consumption	0.0913432	FALSE	Small Intestine
Spleen	COVAR	17337	0.013722	0.027201	0.0047692	0.0020085	f1448.2	Brown bread consumption	0.052221	FALSE	Spleen
Stomach	COVAR	17337	0.0074722	0.013578	0.0082933	0.1838	f1448.2	Brown bread consumption	1	FALSE	Stomach
Testis	COVAR	17337	-0.001102	-0.0019021	0.0033248	0.62984	f1448.2	Brown bread consumption	1	FALSE	Testis
Thyroid	COVAR	17337	-0.0014516	-0.0028752	0.0065108	0.58821	f1448.2	Brown bread consumption	1	FALSE	Thyroid
Uterus	COVAR	17337	-0.0038884	-0.0079237	0.0073051	0.70274	f1448.2	Brown bread consumption	1	FALSE	Uterus
Vagina	COVAR	17337	0.00537	0.010273	0.0076686	0.24189	f1448.2	Brown bread consumption	1	FALSE	Vagina
Adipose_Tissue	COVAR	17349	-0.024454	-0.048017	0.0093757	0.99545	f1488	Tea intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17349	0.0072617	0.014021	0.0071931	0.15637	f1488	Tea intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17349	-0.020148	-0.039279	0.011309	0.96259	f1488	Tea intake	1	FALSE	Bladder
Blood	COVAR	17349	-0.0014169	-0.0025454	0.004284	0.62958	f1488	Tea intake	1	FALSE	Blood
Blood_Vessel	COVAR	17349	-0.028118	-0.057055	0.008195	0.9997	f1488	Tea intake	1	FALSE	Blood Vessel
Brain	COVAR	17349	0.016541	0.02873	0.0047768	0.00026803	f1488	Tea intake	0.00696878	TRUE	Brain
Breast	COVAR	17349	-0.018435	-0.035455	0.011098	0.95164	f1488	Tea intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17349	-0.0031228	-0.0061361	0.0099253	0.62348	f1488	Tea intake	1	FALSE	Cervix Uteri
Colon	COVAR	17349	0.011487	0.021506	0.01102	0.14864	f1488	Tea intake	1	FALSE	Colon
Esophagus	COVAR	17349	-0.015658	-0.029501	0.012074	0.90264	f1488	Tea intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17349	-0.01279	-0.024816	0.0097557	0.90506	f1488	Tea intake	1	FALSE	Fallopian Tube
Heart	COVAR	17349	-0.0058232	-0.010022	0.0066501	0.80939	f1488	Tea intake	1	FALSE	Heart
Kidney	COVAR	17349	-0.0046434	-0.0081721	0.0065879	0.75954	f1488	Tea intake	1	FALSE	Kidney
Liver	COVAR	17349	0.0053673	0.0096654	0.0045571	0.11945	f1488	Tea intake	1	FALSE	Liver
Lung	COVAR	17349	-0.013675	-0.026444	0.0074095	0.96752	f1488	Tea intake	1	FALSE	Lung
Muscle	COVAR	17349	-0.0033778	-0.0063884	0.0048147	0.75852	f1488	Tea intake	1	FALSE	Muscle
Nerve	COVAR	17349	-0.0042102	-0.0084749	0.0072553	0.71914	f1488	Tea intake	1	FALSE	Nerve
Ovary	COVAR	17349	0.0029084	0.0058964	0.0071817	0.34275	f1488	Tea intake	1	FALSE	Ovary
Pancreas	COVAR	17349	0.0085759	0.014339	0.0061415	0.081308	f1488	Tea intake	1	FALSE	Pancreas
Pituitary	COVAR	17349	0.020408	0.038051	0.0057827	0.00020899	f1488	Tea intake	0.00543374	TRUE	Pituitary
Prostate	COVAR	17349	-0.0028573	-0.005422	0.0096624	0.61627	f1488	Tea intake	1	FALSE	Prostate
Salivary_Gland	COVAR	17349	-0.0079628	-0.014823	0.007574	0.85344	f1488	Tea intake	1	FALSE	Salivary Gland
Skin	COVAR	17349	-0.0072226	-0.013776	0.0071009	0.84545	f1488	Tea intake	1	FALSE	Skin
Small_Intestine	COVAR	17349	0.015696	0.028872	0.0075448	0.018755	f1488	Tea intake	0.48763	FALSE	Small Intestine
Spleen	COVAR	17349	0.0031609	0.006266	0.0054621	0.2814	f1488	Tea intake	1	FALSE	Spleen
Stomach	COVAR	17349	0.0085981	0.015624	0.0095508	0.184	f1488	Tea intake	1	FALSE	Stomach
Testis	COVAR	17349	0.0020906	0.0036099	0.0038736	0.2947	f1488	Tea intake	1	FALSE	Testis
Thyroid	COVAR	17349	-0.0013022	-0.002579	0.0075644	0.56834	f1488	Tea intake	1	FALSE	Thyroid
Uterus	COVAR	17349	-0.011354	-0.023135	0.0084058	0.9116	f1488	Tea intake	1	FALSE	Uterus
Vagina	COVAR	17349	-0.012865	-0.024609	0.0088904	0.92605	f1488	Tea intake	1	FALSE	Vagina
Adipose_Tissue	COVAR	17350	-0.016873	-0.03314	0.0095065	0.96203	f1528	Water intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17350	0.0033574	0.0064831	0.0072079	0.32069	f1528	Water intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17350	-0.01774	-0.034591	0.011431	0.93966	f1528	Water intake	1	FALSE	Bladder
Blood	COVAR	17350	-0.00052678	-0.00094631	0.0043605	0.54808	f1528	Water intake	1	FALSE	Blood
Blood_Vessel	COVAR	17350	-0.011173	-0.022678	0.0083379	0.90987	f1528	Water intake	1	FALSE	Blood Vessel
Brain	COVAR	17350	0.025122	0.043642	0.0048313	1.0095e-07	f1528	Water intake	2.6247e-06	TRUE	Brain
Breast	COVAR	17350	-0.023621	-0.045442	0.01125	0.98211	f1528	Water intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17350	0.0047326	0.0093009	0.010015	0.31827	f1528	Water intake	1	FALSE	Cervix Uteri
Colon	COVAR	17350	-0.0068453	-0.012818	0.01117	0.73	f1528	Water intake	1	FALSE	Colon
Esophagus	COVAR	17350	-0.018327	-0.034536	0.012112	0.93486	f1528	Water intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17350	-0.0097791	-0.018979	0.009795	0.84094	f1528	Water intake	1	FALSE	Fallopian Tube
Heart	COVAR	17350	0.00012155	0.00020921	0.0067337	0.4928	f1528	Water intake	1	FALSE	Heart
Kidney	COVAR	17350	1.191e-05	2.0965e-05	0.0067013	0.49929	f1528	Water intake	1	FALSE	Kidney
Liver	COVAR	17350	-0.0052663	-0.0094854	0.0045829	0.87474	f1528	Water intake	1	FALSE	Liver
Lung	COVAR	17350	-0.014251	-0.027562	0.007426	0.97251	f1528	Water intake	1	FALSE	Lung
Muscle	COVAR	17350	-5.8845e-05	-0.00011131	0.0048233	0.50487	f1528	Water intake	1	FALSE	Muscle
Nerve	COVAR	17350	0.0097796	0.019687	0.0073924	0.09294	f1528	Water intake	1	FALSE	Nerve
Ovary	COVAR	17350	0.0059664	0.012097	0.0072381	0.20489	f1528	Water intake	1	FALSE	Ovary
Pancreas	COVAR	17350	-0.0015308	-0.0025604	0.0061758	0.59788	f1528	Water intake	1	FALSE	Pancreas
Pituitary	COVAR	17350	0.020266	0.037789	0.0058381	0.0002596	f1528	Water intake	0.0067496	TRUE	Pituitary
Prostate	COVAR	17350	-0.0074665	-0.01417	0.0097433	0.77825	f1528	Water intake	1	FALSE	Prostate
Salivary_Gland	COVAR	17350	-0.019785	-0.036834	0.0076443	0.99517	f1528	Water intake	1	FALSE	Salivary Gland
Skin	COVAR	17350	-0.0066385	-0.012665	0.0070481	0.82687	f1528	Water intake	1	FALSE	Skin
Small_Intestine	COVAR	17350	-0.0070914	-0.013044	0.0075951	0.82476	f1528	Water intake	1	FALSE	Small Intestine
Spleen	COVAR	17350	-0.0017588	-0.0034862	0.0055669	0.62397	f1528	Water intake	1	FALSE	Spleen
Stomach	COVAR	17350	-0.0071167	-0.012933	0.009621	0.77026	f1528	Water intake	1	FALSE	Stomach
Testis	COVAR	17350	0.006745	0.011646	0.0039095	0.042248	f1528	Water intake	1	FALSE	Testis
Thyroid	COVAR	17350	0.00052859	0.0010469	0.007663	0.4725	f1528	Water intake	1	FALSE	Thyroid
Uterus	COVAR	17350	0.00036557	0.00074505	0.0084778	0.4828	f1528	Water intake	1	FALSE	Uterus
Vagina	COVAR	17350	-0.015259	-0.029191	0.0088812	0.9571	f1528	Water intake	1	FALSE	Vagina
Adipose_Tissue	COVAR	17347	-0.00030825	-0.00060535	0.0087829	0.514	f1538.0	No recent dietary change	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17347	-0.0028589	-0.0055203	0.0066951	0.66531	f1538.0	No recent dietary change	1	FALSE	Adrenal Gland
Bladder	COVAR	17347	-0.010794	-0.021047	0.010497	0.8481	f1538.0	No recent dietary change	1	FALSE	Bladder
Blood	COVAR	17347	-0.0020274	-0.0036423	0.0040135	0.69327	f1538.0	No recent dietary change	1	FALSE	Blood
Blood_Vessel	COVAR	17347	0.0083887	0.017025	0.007616	0.13536	f1538.0	No recent dietary change	1	FALSE	Blood Vessel
Brain	COVAR	17347	0.02225	0.038657	0.0044415	2.7572e-07	f1538.0	No recent dietary change	7.16872e-06	TRUE	Brain
Breast	COVAR	17347	-0.0037576	-0.007228	0.010362	0.64156	f1538.0	No recent dietary change	1	FALSE	Breast
Cervix_Uteri	COVAR	17347	0.0122	0.023976	0.0092476	0.093551	f1538.0	No recent dietary change	1	FALSE	Cervix Uteri
Colon	COVAR	17347	0.0037991	0.0071138	0.010295	0.35606	f1538.0	No recent dietary change	1	FALSE	Colon
Esophagus	COVAR	17347	-0.015013	-0.028291	0.011193	0.91008	f1538.0	No recent dietary change	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17347	0.011147	0.021633	0.0090581	0.10924	f1538.0	No recent dietary change	1	FALSE	Fallopian Tube
Heart	COVAR	17347	-0.0061641	-0.010608	0.0062087	0.83959	f1538.0	No recent dietary change	1	FALSE	Heart
Kidney	COVAR	17347	-0.0058958	-0.010376	0.0061774	0.83005	f1538.0	No recent dietary change	1	FALSE	Kidney
Liver	COVAR	17347	-0.0038325	-0.0069011	0.0042167	0.81829	f1538.0	No recent dietary change	1	FALSE	Liver
Lung	COVAR	17347	-0.0040455	-0.0078239	0.0068882	0.7215	f1538.0	No recent dietary change	1	FALSE	Lung
Muscle	COVAR	17347	-0.0069853	-0.013215	0.0044349	0.94237	f1538.0	No recent dietary change	1	FALSE	Muscle
Nerve	COVAR	17347	0.01069	0.021525	0.0067705	0.057184	f1538.0	No recent dietary change	1	FALSE	Nerve
Ovary	COVAR	17347	0.0047702	0.0096723	0.0066726	0.23734	f1538.0	No recent dietary change	1	FALSE	Ovary
Pancreas	COVAR	17347	-0.0098608	-0.016492	0.005722	0.95758	f1538.0	No recent dietary change	1	FALSE	Pancreas
Pituitary	COVAR	17347	0.01443	0.026907	0.0053678	0.0035945	f1538.0	No recent dietary change	0.093457	FALSE	Pituitary
Prostate	COVAR	17347	-0.014343	-0.027219	0.0090386	0.94371	f1538.0	No recent dietary change	1	FALSE	Prostate
Salivary_Gland	COVAR	17347	-0.019834	-0.036928	0.0070896	0.99742	f1538.0	No recent dietary change	1	FALSE	Salivary Gland
Skin	COVAR	17347	-0.012941	-0.024687	0.0065835	0.97532	f1538.0	No recent dietary change	1	FALSE	Skin
Small_Intestine	COVAR	17347	-0.0029522	-0.0054318	0.0070623	0.66203	f1538.0	No recent dietary change	1	FALSE	Small Intestine
Spleen	COVAR	17347	0.0010915	0.0021642	0.0051339	0.41582	f1538.0	No recent dietary change	1	FALSE	Spleen
Stomach	COVAR	17347	-0.0038769	-0.0070465	0.00888	0.66879	f1538.0	No recent dietary change	1	FALSE	Stomach
Testis	COVAR	17347	0.00060782	0.0010495	0.0035987	0.43294	f1538.0	No recent dietary change	1	FALSE	Testis
Thyroid	COVAR	17347	0.0068242	0.013517	0.0070532	0.16664	f1538.0	No recent dietary change	1	FALSE	Thyroid
Uterus	COVAR	17347	0.013243	0.02699	0.0078522	0.045856	f1538.0	No recent dietary change	1	FALSE	Uterus
Vagina	COVAR	17347	-0.011833	-0.022635	0.0083021	0.92295	f1538.0	No recent dietary change	1	FALSE	Vagina
Adipose_Tissue	COVAR	17338	-0.0035131	-0.0068985	0.0083358	0.66328	f1538.1	Illness-induced dietary change	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17338	-0.0038482	-0.0074293	0.0064507	0.7246	f1538.1	Illness-induced dietary change	1	FALSE	Adrenal Gland
Bladder	COVAR	17338	-0.020174	-0.039334	0.009943	0.97876	f1538.1	Illness-induced dietary change	1	FALSE	Bladder
Blood	COVAR	17338	-0.0019924	-0.003578	0.0038385	0.69813	f1538.1	Illness-induced dietary change	1	FALSE	Blood
Blood_Vessel	COVAR	17338	0.0016275	0.0033027	0.0073228	0.41206	f1538.1	Illness-induced dietary change	1	FALSE	Blood Vessel
Brain	COVAR	17338	0.010973	0.019059	0.0042789	0.0051722	f1538.1	Illness-induced dietary change	0.1344772	FALSE	Brain
Breast	COVAR	17338	-0.0028232	-0.0054302	0.0098708	0.61257	f1538.1	Illness-induced dietary change	1	FALSE	Breast
Cervix_Uteri	COVAR	17338	-0.011354	-0.022314	0.0088399	0.90049	f1538.1	Illness-induced dietary change	1	FALSE	Cervix Uteri
Colon	COVAR	17338	-0.018166	-0.03401	0.0098523	0.96739	f1538.1	Illness-induced dietary change	1	FALSE	Colon
Esophagus	COVAR	17338	-0.02447	-0.046109	0.010739	0.98865	f1538.1	Illness-induced dietary change	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17338	-0.0047741	-0.0092648	0.0086296	0.70994	f1538.1	Illness-induced dietary change	1	FALSE	Fallopian Tube
Heart	COVAR	17338	0.0054758	0.0094216	0.0059757	0.17975	f1538.1	Illness-induced dietary change	1	FALSE	Heart
Kidney	COVAR	17338	0.0070769	0.012454	0.0059193	0.11594	f1538.1	Illness-induced dietary change	1	FALSE	Kidney
Liver	COVAR	17338	0.00038635	0.00069556	0.0040528	0.46203	f1538.1	Illness-induced dietary change	1	FALSE	Liver
Lung	COVAR	17338	-0.001156	-0.0022356	0.006603	0.56949	f1538.1	Illness-induced dietary change	1	FALSE	Lung
Muscle	COVAR	17338	0.0047165	0.0089215	0.0042934	0.13599	f1538.1	Illness-induced dietary change	1	FALSE	Muscle
Nerve	COVAR	17338	-0.0062374	-0.012558	0.006511	0.83096	f1538.1	Illness-induced dietary change	1	FALSE	Nerve
Ovary	COVAR	17338	0.0033732	0.0068395	0.0064047	0.29921	f1538.1	Illness-induced dietary change	1	FALSE	Ovary
Pancreas	COVAR	17338	-0.00011393	-0.00019046	0.0054443	0.50835	f1538.1	Illness-induced dietary change	1	FALSE	Pancreas
Pituitary	COVAR	17338	0.0038964	0.0072659	0.0051637	0.22526	f1538.1	Illness-induced dietary change	1	FALSE	Pituitary
Prostate	COVAR	17338	-0.015432	-0.029285	0.0085786	0.96397	f1538.1	Illness-induced dietary change	1	FALSE	Prostate
Salivary_Gland	COVAR	17338	-0.0022132	-0.0041197	0.0067412	0.62866	f1538.1	Illness-induced dietary change	1	FALSE	Salivary Gland
Skin	COVAR	17338	-0.011296	-0.021548	0.0063138	0.9632	f1538.1	Illness-induced dietary change	1	FALSE	Skin
Small_Intestine	COVAR	17338	-0.010444	-0.01921	0.0066962	0.94057	f1538.1	Illness-induced dietary change	1	FALSE	Small Intestine
Spleen	COVAR	17338	-0.0043587	-0.00864	0.0048879	0.81373	f1538.1	Illness-induced dietary change	1	FALSE	Spleen
Stomach	COVAR	17338	-0.0054406	-0.0098848	0.0084786	0.73946	f1538.1	Illness-induced dietary change	1	FALSE	Stomach
Testis	COVAR	17338	0.011032	0.019052	0.0034662	0.00073071	f1538.1	Illness-induced dietary change	0.01899846	TRUE	Testis
Thyroid	COVAR	17338	0.0046064	0.0091238	0.0067315	0.2469	f1538.1	Illness-induced dietary change	1	FALSE	Thyroid
Uterus	COVAR	17338	0.0019792	0.0040336	0.0075079	0.39604	f1538.1	Illness-induced dietary change	1	FALSE	Uterus
Vagina	COVAR	17338	-0.01352	-0.025862	0.0078948	0.95659	f1538.1	Illness-induced dietary change	1	FALSE	Vagina
Adipose_Tissue	COVAR	17343	-0.025999	-0.051055	0.0089405	0.99818	f1548	Diet variety	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17343	0.0099859	0.019279	0.0067867	0.070601	f1548	Diet variety	1	FALSE	Adrenal Gland
Bladder	COVAR	17343	-0.031201	-0.060832	0.010742	0.99816	f1548	Diet variety	1	FALSE	Bladder
Blood	COVAR	17343	0.0024142	0.0043372	0.0041299	0.27943	f1548	Diet variety	1	FALSE	Blood
Blood_Vessel	COVAR	17343	-0.017627	-0.035773	0.0078129	0.98796	f1548	Diet variety	1	FALSE	Blood Vessel
Brain	COVAR	17343	0.025665	0.044586	0.0045784	1.0529e-08	f1548	Diet variety	2.73754e-07	TRUE	Brain
Breast	COVAR	17343	-0.028201	-0.054245	0.010569	0.99618	f1548	Diet variety	1	FALSE	Breast
Cervix_Uteri	COVAR	17343	-0.018504	-0.036361	0.009464	0.97471	f1548	Diet variety	1	FALSE	Cervix Uteri
Colon	COVAR	17343	-0.0067315	-0.012603	0.010461	0.74003	f1548	Diet variety	1	FALSE	Colon
Esophagus	COVAR	17343	-0.0083572	-0.015746	0.011402	0.76821	f1548	Diet variety	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17343	-0.017921	-0.034778	0.0092736	0.97334	f1548	Diet variety	1	FALSE	Fallopian Tube
Heart	COVAR	17343	0.0072707	0.012512	0.0063322	0.12545	f1548	Diet variety	1	FALSE	Heart
Kidney	COVAR	17343	0.0061072	0.010749	0.0062818	0.16548	f1548	Diet variety	1	FALSE	Kidney
Liver	COVAR	17343	0.0033142	0.0059684	0.0043004	0.22046	f1548	Diet variety	1	FALSE	Liver
Lung	COVAR	17343	-0.019557	-0.037823	0.007019	0.99733	f1548	Diet variety	1	FALSE	Lung
Muscle	COVAR	17343	0.0024636	0.0046604	0.0045627	0.29462	f1548	Diet variety	1	FALSE	Muscle
Nerve	COVAR	17343	0.0011906	0.0023968	0.006951	0.432	f1548	Diet variety	1	FALSE	Nerve
Ovary	COVAR	17343	0.002811	0.0056989	0.0068334	0.34041	f1548	Diet variety	1	FALSE	Ovary
Pancreas	COVAR	17343	0.0076458	0.012788	0.0057712	0.092627	f1548	Diet variety	1	FALSE	Pancreas
Pituitary	COVAR	17343	0.0099913	0.018627	0.0055265	0.035321	f1548	Diet variety	0.918346	FALSE	Pituitary
Prostate	COVAR	17343	-0.010815	-0.020523	0.0091883	0.8804	f1548	Diet variety	1	FALSE	Prostate
Salivary_Gland	COVAR	17343	-0.0083737	-0.015588	0.0071669	0.87867	f1548	Diet variety	1	FALSE	Salivary Gland
Skin	COVAR	17343	-0.0025673	-0.0048977	0.0066634	0.64999	f1548	Diet variety	1	FALSE	Skin
Small_Intestine	COVAR	17343	-0.0060118	-0.011059	0.0072134	0.79769	f1548	Diet variety	1	FALSE	Small Intestine
Spleen	COVAR	17343	-0.0024426	-0.0048425	0.005239	0.67947	f1548	Diet variety	1	FALSE	Spleen
Stomach	COVAR	17343	0.0065148	0.01184	0.0090685	0.23626	f1548	Diet variety	1	FALSE	Stomach
Testis	COVAR	17343	0.0029837	0.0051499	0.0037174	0.2111	f1548	Diet variety	1	FALSE	Testis
Thyroid	COVAR	17343	-0.010966	-0.021719	0.0071846	0.93652	f1548	Diet variety	1	FALSE	Thyroid
Uterus	COVAR	17343	-0.010543	-0.021482	0.0080304	0.90538	f1548	Diet variety	1	FALSE	Uterus
Vagina	COVAR	17343	-0.010401	-0.019895	0.0084006	0.89217	f1548	Diet variety	1	FALSE	Vagina
Adipose_Tissue	COVAR	17352	-0.013343	-0.026199	0.010168	0.90528	f1558	Alcohol intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17352	-0.0010755	-0.0020761	0.0077359	0.55529	f1558	Alcohol intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17352	-0.010273	-0.020024	0.012239	0.79936	f1558	Alcohol intake	1	FALSE	Bladder
Blood	COVAR	17352	-0.0023467	-0.0042152	0.0046787	0.69202	f1558	Alcohol intake	1	FALSE	Blood
Blood_Vessel	COVAR	17352	-0.0051702	-0.01049	0.0089414	0.71844	f1558	Alcohol intake	1	FALSE	Blood Vessel
Brain	COVAR	17352	0.02274	0.039491	0.0052136	6.4927e-06	f1558	Alcohol intake	0.0001688102	TRUE	Brain
Breast	COVAR	17352	-0.013369	-0.025711	0.012048	0.86643	f1558	Alcohol intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17352	0.0051838	0.010185	0.010786	0.3154	f1558	Alcohol intake	1	FALSE	Cervix Uteri
Colon	COVAR	17352	0.01461	0.027347	0.011978	0.11129	f1558	Alcohol intake	1	FALSE	Colon
Esophagus	COVAR	17352	0.00083589	0.0015748	0.013074	0.47451	f1558	Alcohol intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17352	0.0019972	0.0038748	0.010608	0.42533	f1558	Alcohol intake	1	FALSE	Fallopian Tube
Heart	COVAR	17352	-0.0023587	-0.0040583	0.0072673	0.62724	f1558	Alcohol intake	1	FALSE	Heart
Kidney	COVAR	17352	-0.011896	-0.020933	0.0071414	0.95212	f1558	Alcohol intake	1	FALSE	Kidney
Liver	COVAR	17352	-0.0019351	-0.0034842	0.0049104	0.65324	f1558	Alcohol intake	1	FALSE	Liver
Lung	COVAR	17352	-0.0077399	-0.014965	0.0080221	0.83267	f1558	Alcohol intake	1	FALSE	Lung
Muscle	COVAR	17352	-0.0014205	-0.0026868	0.0052468	0.60671	f1558	Alcohol intake	1	FALSE	Muscle
Nerve	COVAR	17352	0.002084	0.0041951	0.007917	0.39619	f1558	Alcohol intake	1	FALSE	Nerve
Ovary	COVAR	17352	0.009179	0.018607	0.0078014	0.11969	f1558	Alcohol intake	1	FALSE	Ovary
Pancreas	COVAR	17352	0.0020111	0.0033626	0.0066114	0.3805	f1558	Alcohol intake	1	FALSE	Pancreas
Pituitary	COVAR	17352	0.026741	0.049848	0.0062901	1.0684e-05	f1558	Alcohol intake	0.000277784	TRUE	Pituitary
Prostate	COVAR	17352	-0.0093936	-0.017823	0.01053	0.81382	f1558	Alcohol intake	1	FALSE	Prostate
Salivary_Gland	COVAR	17352	-0.011699	-0.021777	0.0082509	0.92187	f1558	Alcohol intake	1	FALSE	Salivary Gland
Skin	COVAR	17352	-0.016025	-0.030564	0.007658	0.9818	f1558	Alcohol intake	1	FALSE	Skin
Small_Intestine	COVAR	17352	-0.0045873	-0.0084368	0.0081533	0.71315	f1558	Alcohol intake	1	FALSE	Small Intestine
Spleen	COVAR	17352	-0.010003	-0.019826	0.0059626	0.95329	f1558	Alcohol intake	1	FALSE	Spleen
Stomach	COVAR	17352	-0.007466	-0.013565	0.010352	0.7646	f1558	Alcohol intake	1	FALSE	Stomach
Testis	COVAR	17352	0.0020456	0.0035317	0.004205	0.31332	f1558	Alcohol intake	1	FALSE	Testis
Thyroid	COVAR	17352	-0.0026967	-0.0053401	0.0082644	0.6279	f1558	Alcohol intake	1	FALSE	Thyroid
Uterus	COVAR	17352	0.0058717	0.011963	0.0091097	0.25961	f1558	Alcohol intake	1	FALSE	Uterus
Vagina	COVAR	17352	-0.0090853	-0.017379	0.0096514	0.82673	f1558	Alcohol intake	1	FALSE	Vagina
Adipose_Tissue	COVAR	17340	-0.016147	-0.031705	0.0087289	0.96782	f6144.4	Never eat sugar	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17340	0.00091358	0.0017637	0.0066464	0.44534	f6144.4	Never eat sugar	1	FALSE	Adrenal Gland
Bladder	COVAR	17340	-0.023369	-0.045561	0.010481	0.98711	f6144.4	Never eat sugar	1	FALSE	Bladder
Blood	COVAR	17340	0.0018298	0.0032872	0.0040276	0.32481	f6144.4	Never eat sugar	1	FALSE	Blood
Blood_Vessel	COVAR	17340	-0.0049178	-0.0099801	0.0076409	0.74009	f6144.4	Never eat sugar	1	FALSE	Blood Vessel
Brain	COVAR	17340	0.016329	0.028363	0.0044536	0.00012329	f6144.4	Never eat sugar	0.00320554	TRUE	Brain
Breast	COVAR	17340	-0.01138	-0.021888	0.010311	0.86512	f6144.4	Never eat sugar	1	FALSE	Breast
Cervix_Uteri	COVAR	17340	-0.0080576	-0.015833	0.0091933	0.8096	f6144.4	Never eat sugar	1	FALSE	Cervix Uteri
Colon	COVAR	17340	0.011104	0.020789	0.010249	0.13931	f6144.4	Never eat sugar	1	FALSE	Colon
