Trait	n
Phosphatidylcholine(37:4)_[M+H]1+/Phosphatidylethanolamine(40:4)_[M+H]1+/Phosphatidate(42:5)_[M+NH4]1+ levels	84
Phosphatidylcholine(38:3)_[M+H]1+/Phosphatidylethanolamine(41:3)_[M+H]1+/Phosphatidate(43:4)_[M+NH4]1+ levels	84
Phosphatidylcholine(38:3)_[M+OAc]1-/Phosphatidylserine(42:2)_[M-H]1- levels	84
Phosphatidylcholine(38:4)_[M+H]1+/Phosphatidylethanolamine(41:4)_[M+H]1+ levels	84
Phosphatidylcholine(38:4)_[M+OAc]1-/Phosphatidylserine(42:3)_[M-H]1- levels	84
Phosphatidylcholine(38:5)_[M+H]1+/Phosphatidylethanolamine(41:5)_[M+H]1+/Phosphatidate(43:6)_[M+NH4]1+ levels	84
Phosphatidylcholine(40:5)_[M+H]1+ levels	84
Phosphatidylcholine(40:5)_[M+OAc]1-/Phosphatidylserine(44:4)_[M-H]1- levels	84
Phosphatidylcholine(42:4)_[M+OAc]1- levels	84
Phosphatidylethanolamine-O(38:4)_[M-H]1-/Phosphatidylcholine-O(35:4)_[M-H]1-/Phosphatidylcholine-P(35:3)_[M-H]1- levels	84
Phosphatidylethanolamine(34:2)_[M+H]1+ levels	84
Phosphatidylethanolamine(38:5)_[M-H]1- levels	84
Phosphatidylglycerol(36:0)_[M-H]1- levels	84
Phosphatidylinositol(36:1)_[M+OAc]1- levels	84
Phosphatidylinositol(38:4)_[M-H]1- levels	84
Sphingomyelin(44:9)_[M+H]1- levels	84
Cognitive performance (MTAG)	83
Cortical thickness	83
Mean platelet volume	83
Phosphatidate(41:2)_[M+H]1+ levels	83
Predicted visceral adipose tissue	83
A body shape index	82
BMI (adjusted for smoking behaviour)	82
Estimated glomerular filtration rate (creatinine)	82
Phosphatidylethanolamine-O(38:6)_[M+H]1+/Phosphatidylcholine-P(35:5)_[M+H]1+ levels	82
Phosphatidylinositol-O(36:0)_[M-H]1-/Phosphatidylglycerol(37:0)_[M+OAc]1- levels	82
Phosphatidylserine(44:6)_[M+OAc]1- levels	82
Cholesteryl ester(18:3)_[M+NH4]1+ levels	81
Fish- and plant-related diet	81
Phosphatidate(39:1)_[M+H]1+ levels	81
Phosphatidylcholine-O(40:6)_[M+H]1+/Phosphatidylcholine-P(40:5)_[M+H]1+ levels	81
Phosphatidylcholine(32:0)_[M+H]1+/Phosphatidylethanolamine(35:0)_[M+H]1+/Phosphatidate(37:1)_[M+NH4]1+ levels	81
Phosphatidylcholine(33:3)_[M+H]1+/Phosphatidylethanolamine(36:3)_[M+H]1+/Phosphatidate(38:4)_[M+NH4]1+ levels	81
Phosphatidylcholine(40:4)_[M+OAc]1-/Phosphatidylserine(44:3)_[M-H]1- levels	81
Phosphatidylglycerol(34:0)_[M-H]1- levels	81
Phosphatidylserine(42:7)_[M+OAc]1- levels	81
Self-reported math ability (MTAG)	81
Vertex-wise cortical thickness	80
Alcohol use disorder (consumption score)	79
Triacylglycerol(56:6)_[M+NH4]1+ levels	79
Lymphocyte count	78
Phosphatidylcholine(34:2)_[M+H]1+/Phosphatidylethanolamine(37:2)_[M+H]1+/Phosphatidate(39:3)_[M+NH4]1+ levels	78
Phosphatidylinositol(36:2)_[M-H]1- levels	78
Phosphatidylinositol(36:4)_[M-H]1- levels	78
Post bronchodilator FEV1/FVC ratio	78
Triacylglycerol(56:4)_[M+NH4]1+ levels	78
Triacylglycerol(56:7)_[M+NH4]1+ levels	78
Triacylglycerol(58:9)_[M+NH4]1+ levels	78
Blood urea nitrogen levels	77
Hemoglobin levels	77
Neurociticism	77
Leisure sedentary behaviour (television watching)	76
Phosphatidylinositol(36:0)_[M+OAc]1- levels	76
Phosphatidylserine(35:2)_[M+OAc]1- levels	76
Vertex-wise sulcal depth	76
Body mass index (joint analysis main effects and smoking interaction)	75
Phosphatidylcholine(40:6)_[M+H]1+/Phosphatidylethanolamine(43:6)_[M+H]1+ levels	74
Risk-taking behavior (multivariate analysis)	74
Non-HDL cholesterol levels	73
Smoking initiation	73
Apolipoprotein B levels	71
BMI in non-smokers	70
Phosphatidylcholine(36:2)_[M+H]1+/Phosphatidylethanolamine(39:2)_[M+H]1+/Phosphatidate(41:3)_[M+NH4]1+ levels	70
Aspartate aminotransferase levels	69
Depressed affect	69
Phosphatidylserine(42:5)_[M+OAc]1- levels	69
Body mass index in physically inactive individuals	68
Hemoglobin concentration	68
Major depressive disorder	68
Self-reported math ability	68
Coffee consumption (cups per day)	66
Phosphatidylinositol-O(33:0)_[M-H]1- levels	66
C-reactive protein	65
Serum uric acid levels	65
Walking pace	65
Coffee consumption	64
Experiencing mood swings	64
Household income	64
Phosphatidylinositol(34:2)_[M-H]1- levels	64
Serum 25-Hydroxyvitamin D levels	64
Alcohol use disorder	63
Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	63
Monocyte count	63
Vertex-wise cortical surface area	63
Cognitive performance	62
Depressive symptoms	62
Worry	62
Morning person	61
Glycated hemoglobin levels	60
Highest math class taken	60
Medication use (agents acting on the renin-angiotensin system)	60
Metabolic syndrome	60
Serum albumin levels	60
Phosphatidylcholine(35:3)_[M+H]1+/Phosphatidylethanolamine(38:3)_[M+H]1+/Phosphatidate(40:4)_[M+NH4]1+ levels	59
Age of smoking initiation (MTAG)	58
Cholesteryl ester(16:0)_[M+NH4]1+ levels	58
Childhood body mass index	57
Crohn's disease	57
Metabolic biomarkers (multivariate analysis)	57
Body fat distribution (arm fat ratio)	56
Sex hormone-binding globulin levels adjusted for BMI	55
Urinary sodium excretion	55
Hemoglobin	54
Phosphatidylcholine(40:6)_[M+OAc]1-/Phosphatidylserine(44:5)_[M-H]1- levels	54
Trans fatty acid levels	54
White matter microstructure (mean diusivities)	54
Smoking status	53
White matter microstructure (axial diusivities)	53
Body size at age 10	52
Diacylglycerol(36:3)_[M+H-H2O]1+ levels	52
Glycerophospholipid levels	52
Multisite chronic pain	52
Whole brain restricted isotropic diffusion (multivariate analysis)	52
Irritable mood	51
Albumin levels	50
Diacylglycerol(36:2)_[M+H-H2O]1+ levels	50
Mean corpuscular hemoglobin concentration	50
Number of sexual partners	50
Phosphatidylcholine(38:6)_[M+H]1+/Phosphatidylethanolamine(41:6)_[M+H]1+ levels	50
Problematic alcohol use (MTAG)	50
Triacylglycerol(54:3)_[M+NH4]1+ levels	50
Whole brain restricted directional diffusion (multivariate analysis)	50
Cerebrospinal fluid AB1-42 levels	49
Dietary macronutrient intake (multi-trait analysis)	48
Feeling worry	48
Noncognitive aspects of educational attainment	48
Urinary albumin-to-creatinine ratio	48
Waist-to-hip ratio adjusted for BMI (additive genetic model)	48
White matter microstructure (radial diusivities)	48
Age at first sexual intercourse	47
Lifetime smoking	47
Male-pattern baldness	47
Medication use (drugs used in diabetes)	46
Plateletcrit	46
Bipolar disorder	45
Common executive function	45
Risk-taking tendency (4-domain principal component model)	45
Systemic lupus erythematosus	45
Alzheimer's disease biomarkers	44
Snoring	44
Calcium levels	43
Cognitive ability	43
Creatinine levels	43
Reaction time	43
Aerodigestive squamous cell cancer (pleiotropy)	42
Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)	42
Autism spectrum disorder or schizophrenia	42
Bipolar disorder (MTAG)	42
Bitter alcoholic beverage consumption	42
Cystatin C levels	42
Depression (broad)	42
Lung cancer	42
Mean arterial pressure x alcohol consumption interaction (2df test)	42
Phosphatidate(34:2)_[M-H]1- levels	42
Phosphatidylglycerol(35:3)_[M-H]1- levels	42
Refractive error	42
Serum total protein level	42
Smoking cessation (MTAG)	42
Squamous cell lung carcinoma	42
White matter microstructure (fractional anisotropy)	42
Asthma	41
Chronotype	41
Feeling miserable	41
General risk tolerance (MTAG)	41
Leisure screen time	41
Medication use (diuretics)	41
Myocardial infarction	41
Well-being spectrum (multivariate analysis)	41
Blood metabolite levels	40
Diacylglycerol_38:5_[M+H-H2O]1+ levels	40
Feeling nervous	40
Phosphatidylcholine-O(38:4)_[M+H]1+/Phosphatidylcholine-P(38:3)_[M+H]1+ levels	40
Triacylglycerol_56:6_[M+NH4]1+ levels	40
Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	40
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	39
Hemoglobin A1c levels	39
Lifetime smoking index	39
Mean arterial pressure	39
Cholesterol, total	38
Longevity	38
Lung cancer in ever smokers	38
Phosphatidylcholine levels	38
Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	38
Bioavailable testosterone levels	37
Body fat distribution (trunk fat ratio)	37
Cognitive ability (MTAG)	37
Diacylglycerol_38:6_[M+H-H2O]1+ levels	37
Fruit consumption	37
Gastroesophageal reflux disease	37
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	37
High light scatter reticulocyte count	37
Liver enzyme levels (alkaline phosphatase)	37
Nonalcoholic fatty liver disease	37
Positive affect	37
Triacylglycerol_56:5_[M+NH4]1+ levels	37
Triglyceride levels in current drinkers	37
Whole brain free water diffusion (multivariate analysis)	37
Biological sex	36
Medication use (HMG CoA reductase inhibitors)	36
Smoking behaviour (cigarettes smoked per day)	36
Tea consumption	36
BMI in smokers	35
Cerebrospinal fluid t-tau:AB1-42 ratio	35
Cigarettes smoked per day (MTAG)	35
Lifetime smoking (without educational attainment)	35
Mean spheric corpuscular volume	35
Morningness	35
Reticulocyte count	35
Aspartate aminotransferase to alanine aminotransferase ratio	34
Cardiovascular disease	34
Cholesteryl ester_16:0_[M+NH4]1+ levels	34
Cholesteryl ester_18:3_[M+NH4]1+ levels	34
F-acquired taste liking (derived food-liking factor)	34
Fasting glucose	34
Lung function (FEV1)	34
Obesity (early onset extreme)	34
Problematic alcohol use	34
Systolic blood pressure x alcohol consumption interaction (2df test)	34
Verbal declarative memory	34
Alcohol dependence	33
Cholesteryl ester_20:3_[M+NH4]1+ levels	33
Inflammatory bowel disease	33
Phosphatidylcholine_32:0_[M+H]1+/Phosphatidylethanolamine_35:0_[M+H]1+/Phosphatidate_37:1_[M+NH4]1+ levels	33
Platelet distribution width	33
Triacylglycerol_56:7_[M+NH4]1+ levels	33
Verbal-numerical reasoning	33
Cholesteryl ester_18:2_[M+NH4]1+ levels	32
Feeling fed-up	32
Gamma glutamyl transpeptidase	32
Phosphatidate(40:5)_[M+OAc]1-/Phosphatidylglycerol(39:5)_[M-H]1- levels	32
Phosphatidylcholine(39:6)_[M+OAc]1-/Phosphatidylserine(43:5)_[M-H]1- levels	32
Subcortical volume (MOSTest)	32
Triacylglycerol_52:6_[M+NH4]1+ levels	32
Age at first birth	31
Body mass index (adult)	31
Cholesteryl ester_20:5_[M+NH4]1+ levels	31
Cholesteryl ester_22:6_[M+NH4]1+ levels	31
Chronic elevation of alanine aminotransferase (cALT) levels	31
Diacylglycerol_36:3_[M+H-H2O]1+ levels	31
Diacylglycerol_38:3_[M+H-H2O]1+ levels	31
Diacylglycerol_38:4_[M+H-H2O]1+ levels	31
Fasting insulin	31
Feeling guilty	31
Lysophosphatidylcholine_20:4_[M+H]1+ levels	31
Lysophosphatidylethanolamine_18:2_[M-H]1- levels	31
Lysophosphatidylethanolamine_20:4_[M-H]1- levels	31
Lysophosphatidylethanolamine_22:4_[M-H]1- levels	31
Meat-related diet	31
Medication use (calcium channel blockers)	31
Mental health study participation (completed survey)	31
Obesity (extreme)	31
Phosphatidylcholine_31:2_[M+H]1+/Phosphatidylethanolamine_34:2_[M+H]1+/Phosphatidate_36:3_[M+NH4]1+ levels	31
Phosphatidylcholine_32:2_[M+H]1+/Phosphatidylethanolamine_35:2_[M+H]1+/Phosphatidate_37:3_[M+NH4]1+ levels	31
Phosphatidylcholine_34:2_[M+H]1+/Phosphatidylethanolamine_37:2_[M+H]1+/Phosphatidate_39:3_[M+NH4]1+ levels	31
Phosphatidylcholine_34:2_[M+OAc]1-/Phosphatidylserine_38:1_[M-H]1- levels	31
Phosphatidylcholine_34:3_[M+H]1+/Phosphatidylethanolamine_37:3_[M+H]1+/Phosphatidate_39:4_[M+NH4]1+ levels	31
Phosphatidylcholine_35:2_[M+H]1+/Phosphatidylethanolamine_38:2_[M+H]1+/Phosphatidate_40:3_[M+NH4]1+ levels	31
Phosphatidylcholine_35:3_[M+H]1+/Phosphatidylethanolamine_38:3_[M+H]1+/Phosphatidate_40:4_[M+NH4]1+ levels	31
Phosphatidylcholine_35:4_[M+H]1+/Phosphatidylethanolamine_38:4_[M+H]1+/Phosphatidate_40:5_[M+NH4]1+ levels	31
Phosphatidylcholine_36:2_[M+OAc]1-/Phosphatidylserine_40:1_[M-H]1- levels	31
Phosphatidylcholine_36:3_[M+H]1+/Phosphatidylethanolamine_39:3_[M+H]1+/Phosphatidate_41:4_[M+NH4]1+ levels	31
Phosphatidylcholine_37:3_[M+OAc]1-/Phosphatidylserine_41:2_[M-H]1- levels	31
Phosphatidylcholine_37:4_[M+H]1+/Phosphatidylethanolamine_40:4_[M+H]1+/Phosphatidate_42:5_[M+NH4]1+ levels	31
Phosphatidylcholine_38:3_[M+H]1+/Phosphatidylethanolamine_41:3_[M+H]1+/Phosphatidate_43:4_[M+NH4]1+ levels	31
Phosphatidylcholine_38:5_[M+H]1+/Phosphatidylethanolamine_41:5_[M+H]1+/Phosphatidate_43:6_[M+NH4]1+ levels	31
Phosphatidylcholine_40:4_[M+H]1+/Phosphatidylethanolamine_43:4_[M+H]1+ levels	31
Phosphatidylcholine_40:5_[M+H]1+ levels	31
Phosphatidylcholine_40:7_[M+H]1+ levels	31
Phosphatidylcholine_42:4_[M+OAc]1- levels	31
Phosphatidylcholine-O_36:4_[M+H]1+/Phosphatidylcholine-P_36:3_[M+H]1+ levels	31
Phosphatidylcholine-O_38:5_[M+H]1+/Phosphatidylcholine-P_38:4_[M+H]1+ levels	31
Phosphatidylcholine-O_40:5_[M+H]1+/Phosphatidylcholine-P_40:4_[M+H]1+ levels	31
Phosphatidylcholine-O_44:5_[M+H]1+/Phosphatidylcholine-P_44:4_[M+H]1+ levels	31
Phosphatidylcholine-O_44:5_[M+OAc]1-/Phosphatidylcholine-P_44:4_[M+OAc]1- levels	31
Phosphatidylethanolamine_34:2_[M-H]1- levels	31
Phosphatidylethanolamine_35:2_[M-H]1- levels	31
Phosphatidylethanolamine_36:2_[M-H]1- levels	31
Phosphatidylethanolamine_36:3_[M-H]1- levels	31
Phosphatidylethanolamine_37:2_[M-H]1- levels	31
Phosphatidylethanolamine_38:2_[M-H]1- levels	31
Phosphatidylethanolamine_38:3_[M-H]1- levels	31
Phosphatidylethanolamine_38:4_[M-H]1- levels	31
Phosphatidylethanolamine_38:5_[M-H]1- levels	31
Phosphatidylethanolamine_39:4_[M-H]1- levels	31
Phosphatidylethanolamine-O_34:3_[M-H]1-/Phosphatidylethanolamine-P_34:2_[M-H]1- levels	31
Phosphatidylethanolamine-O_36:5_[M-H]1-/Phosphatidylethanolamine-P_36:4_[M-H]1- levels	31
Phosphatidylethanolamine-O_38:3_[M-H]1-/Phosphatidylethanolamine-P_38:2_[M-H]1- levels	31
Phosphatidylethanolamine-O_38:5_[M-H]1-/Phosphatidylethanolamine-P_38:4_[M-H]1- levels	31
Phosphatidylethanolamine-O_40:5_[M-H]1-/Phosphatidylethanolamine-P_40:4_[M-H]1- levels	31
Phosphatidylglycerol_35:3_[M-H]1- levels	31
Phosphatidylinositol_34:0_[M+H]1+ levels	31
Phosphatidylinositol_36:2_[M-H]1- levels	31
Phosphatidylinositol_36:3_[M-H]1- levels	31
Phosphatidylinositol_38:4_[M-H]1- levels	31
Phosphatidylinositol-O_36:0_[M-H]1- levels	31
Phosphatidylserine_40:5_[M+H]1+/Phosphatidylglycerol_40:7_[M+NH4]1+ levels	31
Sphingomyelin_34:2_[M+H]1+ levels	31
Sphingomyelin_36:2_[M+H]1+ levels	31
Subjective well-being	31
Total bilirubin levels	31
Triacylglycerol_56:8_[M+NH4]1+ levels	31
Triacylglycerol_58:10_[M+NH4]1+ levels	31
Triacylglycerol_58:7_[M+NH4]1+ levels	31
Triacylglycerol_58:9_[M+NH4]1+ levels	31
Depressive symptoms (MTAG)	30
Dietary macronutrient intake	30
Disruptive behavior (multivariate analysis)	30
Gout	30
Lysophosphatidylcholine_22:6_[M+H]1+ levels	30
Lysophosphatidylcholine-O_16:1_[M+H]1+/Lysophosphatidylcholine-P_16:0_[M+H]1+ levels	30
Phosphatidylcholine_32:0_[M+OAc]1- levels	30
Phosphatidylcholine_34:4_[M+H]1+/Phosphatidylethanolamine_37:4_[M+H]1+/Phosphatidate_39:5_[M+NH4]1+ levels	30
Phosphatidylcholine_37:5_[M+H]1+/Phosphatidylethanolamine_40:5_[M+H]1+/Phosphatidate_42:6_[M+NH4]1+ levels	30
Phosphatidylcholine_38:2_[M+H]1+/Phosphatidylethanolamine_41:2_[M+H]1+ levels	30
Phosphatidylcholine_40:6_[M+H]1+/Phosphatidylethanolamine_43:6_[M+H]1+ levels	30
Phosphatidylcholine_40:6_[M+OAc]1-/Phosphatidylserine_44:5_[M-H]1- levels	30
Phosphatidylcholine-O_42:6_[M+OAc]1-/Phosphatidylcholine-P_42:5_[M+OAc]1- levels	30
Phosphatidylethanolamine_37:3_[M-H]1- levels	30
Phosphatidylinositol_34:2_[M-H]1- levels	30
Phosphatidylinositol_38:0_[M-H]1- levels	30
Phosphatidylserine_40:3_[M+H]1+/Phosphatidylglycerol_40:5_[M+NH4]1+ levels	30
Pork consumption	30
Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	29
Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)	29
Oily fish consumption	29
Phosphatidylcholine_35:5_[M+OAc]1-/Phosphatidylserine_39:4_[M-H]1- levels	29
Phosphatidylcholine_44:5_[M+OAc]1- levels	29
Phosphatidylethanolamine-O_36:4_[M-H]1-/Phosphatidylethanolamine-P_36:3_[M-H]1- levels	29
Phosphatidylethanolamine-O_38:6_[M-H]1-/Phosphatidylethanolamine-P_38:5_[M-H]1- levels	29
Phosphatidylethanolamine-O_40:6_[M-H]1-/Phosphatidylethanolamine-P_40:5_[M-H]1- levels	29
Phosphatidylglycerol_34:0_[M-H]1- levels	29
Phosphatidylglycerol_36:0_[M-H]1- levels	29
Phosphatidylinositol_36:4_[M-H]1- levels	29
Phosphatidylserine-P_42:1_[M+H]1+/Phosphatidylglycerol-P_42:6_[M+NH4]1+ levels	29
Triacylglycerol_56:4_[M+NH4]1+ levels	29
Caffeine consumption from tea	28
Cognitive traits (MTAG)	28
Educational attainment (college completion)	28
Eosinophil percentage of white cells	28
Fatty acid(18:4)_[M-H]1- levels	28
Linoleic acid levels	28
Liver enzyme levels (gamma-glutamyl transferase)	28
Lung function (FEV1/FVC)	28
Lysophosphatidylethanolamine-O_18:1_[M-H]1-/Lysophosphatidylethanolamine-P_18:0_[M-H]1- levels	28
Neuritic plaque	28
Neurofibrillary tangles	28
Obesity-related traits	28
Phosphatidylcholine_36:5_[M+H]1+/Phosphatidylethanolamine_39:5_[M+H]1+/Phosphatidate_41:6_[M+NH4]1+ levels	28
Phosphatidylcholine_38:6_[M+H]1+/Phosphatidylethanolamine_41:6_[M+H]1+ levels	28
Phosphatidylcholine_52:4_[M+OAc]1- levels	28
Phosphatidylcholine-O_35:4_[M+OAc]1-/Phosphatidylcholine-P_35:3_[M+OAc]1- levels	28
Phosphatidylcholine-O_38:4_[M+H]1+/Phosphatidylcholine-P_38:3_[M+H]1+ levels	28
Phosphatidylcholine-O_40:6_[M+H]1+/Phosphatidylcholine-P_40:5_[M+H]1+ levels	28
Phosphatidylethanolamine-O_36:3_[M-H]1-/Phosphatidylethanolamine-P_36:2_[M-H]1- levels	28
Phosphatidylinositol_36:2_[M+H]1+ levels	28
Smoking cessation	28
Type 1 diabetes	28
Adventurousness	27
Body fat distribution (leg fat ratio)	27
Chronic obstructive pulmonary disease	27
Cortical surface area (MOSTest)	27
HDL cholesterol levels in current drinkers	27
Mean reticulocyte volume	27
Medication use (beta blocking agents)	27
Osteoarthritis	27
Pulse pressure x alcohol consumption interaction (2df test)	27
Relative carbohydrate intake	27
Triacylglycerol_58:8_[M+NH4]1+ levels	27
Urea levels	27
Cholesteryl ester_22:5_[M+NH4]1+ levels	26
Diacylglycerol_36:2_[M+H-H2O]1+ levels	26
Fatty acid(22:6)_[M-H]1- levels	26
Major depressive disorder (MTAG)	26
Phosphatidylethanolamine_34:0_[M-H]1- levels	26
Phosphatidylethanolamine_40:6_[M-H]1- levels	26
Physical activity	26
Spherical equivalent	26
Testosterone levels	26
Triacylglycerol_54:7_[M+NH4]1+ levels	26
Word reading	26
Acceptance of an invitation to participate in a mental health questionnaire	25
Age-related diseases, mortality and associated endophenotypes	25
Age-related macular degeneration	25
Alcohol consumption (drinks per month) (UKB data field 1578, 4424)	25
Cancer (pleiotropy)	25
Feeling hurt	25
LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	25
Life satisfaction	25
Participation in an health questionnaire (not invited vs invited)	25
Relative fat intake	25
Worry too long after an embarrassing experience	25
Age-related disease endophenotypes	24
Colorectal cancer	24
Feeling tense	24
Phosphatidate_34:2_[M-H]1- levels	24
Principal component-derived dietary pattern 1	24
Sleep duration (short sleep)	24
Cerebrospinal fluid t-tau levels	23
Diastolic blood pressure x alcohol consumption interaction (2df test)	23
F-fish liking (derived food-liking factor)	23
High light scatter reticulocyte percentage of red cells	23
LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	23
Mental health study participation (provided email address)	23
Parental longevity (mother's age at death or mother's attained age)	23
Serum creatinine levels	23
Sphingomyelin_38:2_[M+H]1+ levels	23
Alzheimer's disease or gastroesophageal reflux disease	22
Bipolar disorder or major depressive disorder	22
C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	22
Circulating docosahexaenoic acid levels	22
circulating leptin levels adjusted for BMI	22
Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)	22
Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)	22
Hypertension	22
Liver enzyme levels (alanine transaminase)	22
Serum metabolite concentrations in chronic kidney disease	22
Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)	22
Systolic blood pressure x smoking status (ever vs never) interaction (2df test)	22
Alcohol consumption (heavy vs. light/non-drinkers)	21
Automobile speeding propensity	21
Average diameter for HDL particles	21
Brain morphology (min-P)	21
Ease of getting up in the morning	21
F-sharp flavour liking (derived food-liking factor)	21
Fasting blood glucose	21
Herring liking	21
Medication use (antithrombotic agents)	21
Opioid use disorder (MTAG)	21
Ratio of monounsaturated fatty acids to total fatty acids	21
Resting heart rate	21
Alcohol use disorder (total score)	20
Asthma and cardiovascular disease	20
Cholesteryl ester_14:0_[M+NH4]1+ levels	20
Decaffeinated coffee consumption or major depression disorder	20
F-savoury food liking (derived food-liking factor)	20
F-seafood liking (derived food-liking factor)	20
F-small fish liking (derived food-liking factor)	20
Glycine levels	20
Gut microbiota (bacterial taxa)	20
Hip index	20
Liver liking	20
Macular thickness	20
Monounsaturated fatty acid levels	20
Neuroticism conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis)	20
Phosphatidylcholine-O_33:3_[M+H]1+/Phosphatidylcholine-P_33:2_[M+H]1+/Phosphatidylethanolamine-O_36:3_[M+H]1+ levels	20
Phosphatidylinositol_35:2_[M-H]1- levels	20
Protein quantitative trait loci (liver)	20
QT interval	20
