term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
pc13	0.0130995077083246	0.221902638348113	pc13	NA	NA	NA	NA	NA	T2D
pc29	0.00725088614827647	0.261192679323764	pc29	NA	NA	NA	NA	NA	T2D
pc15	-0.0111592767692486	0.267997468011759	pc15	NA	NA	NA	NA	NA	T2D
pc25	0.00652675120378284	0.317386177574646	pc25	NA	NA	NA	NA	NA	T2D
pc19	-0.00593349027458254	0.336314001976239	pc19	NA	NA	NA	NA	NA	T2D
pc33	0.005612714868703	0.378183103668568	pc33	NA	NA	NA	NA	NA	T2D
pc2	0.00546335465311589	0.382992975440476	pc2	NA	NA	NA	NA	NA	T2D
pc18	0.005223192159402	0.386219599386075	pc18	NA	NA	NA	NA	NA	T2D
pc10	-0.00738944371552236	0.415004274923363	pc10	NA	NA	NA	NA	NA	T2D
pc31	0.00513482427572736	0.420480771908787	pc31	NA	NA	NA	NA	NA	T2D
pc26	0.00513820946593796	0.428338076478	pc26	NA	NA	NA	NA	NA	T2D
pc12	-0.00708553609845175	0.443169455082969	pc12	NA	NA	NA	NA	NA	T2D
pc1	0.00409044132378924	0.448684798078029	pc1	NA	NA	NA	NA	NA	T2D
pc20	-0.00397264025991449	0.520791578760097	pc20	NA	NA	NA	NA	NA	T2D
pc34	-0.00345954141495811	0.585638737352054	pc34	NA	NA	NA	NA	NA	T2D
pc7	-0.00321551083718075	0.612614158048815	pc7	NA	NA	NA	NA	NA	T2D
pc32	-0.00269678658807158	0.678176626694699	pc32	NA	NA	NA	NA	NA	T2D
pc24	-0.00246793809582355	0.719969931013584	pc24	NA	NA	NA	NA	NA	T2D
pc28	-0.00225962779312282	0.724598957641065	pc28	NA	NA	NA	NA	NA	T2D
pc40	-0.00211809681204723	0.738344497015851	pc40	NA	NA	NA	NA	NA	T2D
pc37	-0.00205805412902516	0.746397474667159	pc37	NA	NA	NA	NA	NA	T2D
pc23	-0.0013039457188675	0.833632199413393	pc23	NA	NA	NA	NA	NA	T2D
pc9	-0.000809959727061186	0.838028977985681	pc9	NA	NA	NA	NA	NA	T2D
pc6	-0.00195152516741673	0.839141279908012	pc6	NA	NA	NA	NA	NA	T2D
pc39	0.00116029773964522	0.855774084285147	pc39	NA	NA	NA	NA	NA	T2D
pc4	-0.000648824115019837	0.876362186390732	pc4	NA	NA	NA	NA	NA	T2D
pc21	0.000847844937604579	0.89459911307599	pc21	NA	NA	NA	NA	NA	T2D
pc22	0.000572080147944352	0.926528702964182	pc22	NA	NA	NA	NA	NA	T2D
pc3	-0.000767780583749301	0.927219650360842	pc3	NA	NA	NA	NA	NA	T2D
pc16	-0.000488415474991407	0.934734335114759	pc16	NA	NA	NA	NA	NA	T2D
pc38	-0.00026387346700292	0.966648771869249	pc38	NA	NA	NA	NA	NA	T2D
pc35	-0.000106522531858927	0.986821357173734	pc35	NA	NA	NA	NA	NA	T2D
pc5	3.13256221592703e-05	0.990624823070285	pc5	NA	NA	NA	NA	NA	T2D
