term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
f680.4	0.363725618593768	0.000140266854643393	680.4	680	4	Own or rent accommodation lived in	100287	Rent - from private landlord or letting agency	T2D
f6146.3	0.396404739779629	0.000168393152726527	6146.3	6146	3	Attendance/disability/mobility allowance	100510	Blue badge	T2D
f943	-0.0539669347415015	0.000224272839252146	943	943	NA	Frequency of stair climbing in last 4 weeks	100314	NA	T2D
f1488	-0.0640409080182355	0.000232310580015015	1488	1488	NA	Tea intake	100373	NA	T2D
f1359	0.072438762485394	0.000937859463186372	1359	1359	NA	Poultry intake	100377	NA	T2D
f1438	0.0625602752726177	0.00159729578693059	1438	1438	NA	Bread intake	100373	NA	T2D
pc17	-0.0235086847779802	0.00937224778905008	pc17	NA	NA	NA	NA	NA	T2D
f6162.4	-0.773681600297446	0.0150489299439301	6162.4	6162	4	Types of transport used (excluding work)	100299	Cycle	T2D
f1160	-0.0362379403308948	0.0166623168362177	1160	1160	NA	Sleep duration	100291	NA	T2D
f904	-0.0256324828130465	0.0197740787300305	904	904	NA	Number of days/week of vigorous physical activity 10+ minutes	100291	NA	T2D
pc11	0.0161234444955864	0.0215475026432963	pc11	NA	NA	NA	NA	NA	T2D
pc36	0.0104393603763894	0.106928022295911	pc36	NA	NA	NA	NA	NA	T2D
pc30	-0.0100295276703674	0.117088364373331	pc30	NA	NA	NA	NA	NA	T2D
pc27	0.00972248787574246	0.140701860970074	pc27	NA	NA	NA	NA	NA	T2D
pc25	0.0094104035749521	0.157331841645804	pc25	NA	NA	NA	NA	NA	T2D
pc14	-0.00786671690257684	0.171570963877649	pc14	NA	NA	NA	NA	NA	T2D
pc19	-0.00770786710827282	0.220313281492779	pc19	NA	NA	NA	NA	NA	T2D
pc8	-0.00904610952344879	0.222530521836254	pc8	NA	NA	NA	NA	NA	T2D
pc31	0.00744638970505227	0.25112803084971	pc31	NA	NA	NA	NA	NA	T2D
pc29	0.00707133938409124	0.282144965099885	pc29	NA	NA	NA	NA	NA	T2D
pc33	0.00681871139285313	0.292932500477219	pc33	NA	NA	NA	NA	NA	T2D
pc15	-0.0104997922807148	0.305440343635829	pc15	NA	NA	NA	NA	NA	T2D
pc13	0.0108940597908376	0.318227442961462	pc13	NA	NA	NA	NA	NA	T2D
pc2	0.00518579895358137	0.419654235989842	pc2	NA	NA	NA	NA	NA	T2D
pc10	-0.00725119832739901	0.431872075646838	pc10	NA	NA	NA	NA	NA	T2D
pc12	-0.00622530472225447	0.508166576037602	pc12	NA	NA	NA	NA	NA	T2D
pc1	0.0036034673929447	0.517327942337323	pc1	NA	NA	NA	NA	NA	T2D
pc28	-0.0038807011830378	0.551997101083784	pc28	NA	NA	NA	NA	NA	T2D
pc7	-0.00380000656747223	0.557183794710432	pc7	NA	NA	NA	NA	NA	T2D
pc18	0.00320886700419092	0.599089102384792	pc18	NA	NA	NA	NA	NA	T2D
pc26	0.00345209466524406	0.601960206774973	pc26	NA	NA	NA	NA	NA	T2D
pc34	-0.00323058254541176	0.616902991470526	pc34	NA	NA	NA	NA	NA	T2D
pc20	-0.00312672788224364	0.619257833101642	pc20	NA	NA	NA	NA	NA	T2D
pc5	0.00129662097564875	0.630478772515301	pc5	NA	NA	NA	NA	NA	T2D
pc32	-0.00266171060443932	0.687394396445193	pc32	NA	NA	NA	NA	NA	T2D
pc40	-0.00248949313044648	0.699925986392678	pc40	NA	NA	NA	NA	NA	T2D
pc35	-0.00227148471852051	0.729264452105821	pc35	NA	NA	NA	NA	NA	T2D
pc24	-0.00195083664075855	0.780892411026014	pc24	NA	NA	NA	NA	NA	T2D
pc9	-0.00105195016121154	0.793052394368134	pc9	NA	NA	NA	NA	NA	T2D
pc6	-0.00231918065889562	0.813703005730251	pc6	NA	NA	NA	NA	NA	T2D
pc3	0.00149350668332882	0.861991868229374	pc3	NA	NA	NA	NA	NA	T2D
pc16	0.00103319097524381	0.864207751115516	pc16	NA	NA	NA	NA	NA	T2D
pc38	-0.000856495551503491	0.894132103140694	pc38	NA	NA	NA	NA	NA	T2D
pc39	0.000694380411347492	0.914885357514758	pc39	NA	NA	NA	NA	NA	T2D
pc23	-0.000603309020333337	0.92382484092837	pc23	NA	NA	NA	NA	NA	T2D
pc37	0.000542014395532533	0.933393890803196	pc37	NA	NA	NA	NA	NA	T2D
pc4	0.000126217582946604	0.976123796561995	pc4	NA	NA	NA	NA	NA	T2D
pc22	0.000147144381816862	0.981407881064562	pc22	NA	NA	NA	NA	NA	T2D
pc21	0.000102400804378156	0.987464732105552	pc21	NA	NA	NA	NA	NA	T2D
